Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200319,S92000003,1,12,60,5.53219228793954,1,3,0.276609614396977,1699,156.653244953488
20200319,S92000003,2,8,45,4.15016591441067,1,2,0.184451818418252,1445,133.266438807187
20200319,S92000003,3,10,62,5.70497372491537,0,1,0.0920157052405705,1437,132.2265684307
20200319,S92000003,4,9,91,8.30509449098441,0,1,0.0912647746262023,1400,127.770684476683
20200319,S92000003,5,9,102,9.38568829761097,1,2,0.184033103874725,1517,139.589109288979
20200320,S92000003,1,10,70,6.45422433592947,3,6,0.553219228793954,1813,167.164410300573
20200320,S92000003,2,13,58,5.3491027341293,1,3,0.276677727627378,1559,143.780192457027
20200320,S92000003,3,20,82,7.54528782972678,0,1,0.0920157052405705,1571,144.556672932936
20200320,S92000003,4,19,110,10.0391252088823,1,2,0.182529549252405,1531,139.726369952716
20200320,S92000003,5,20,122,11.2260193363582,0,2,0.184033103874725,1636,150.539078969525
20200321,S92000003,1,5,75,6.91524035992443,2,8,0.737625638391939,1921,177.122356418864
20200321,S92000003,2,15,73,6.73249137226619,1,4,0.368903636836504,1653,152.449427922685
20200321,S92000003,3,17,99,9.10955481881648,1,2,0.184031410481141,1655,152.285992173144
20200321,S92000003,4,10,120,10.9517729551443,1,3,0.273794323878607,1622,148.0314644437
20200321,S92000003,5,19,141,12.9743338231681,1,3,0.276049655812087,1719,158.176452780326
20200322,S92000003,1,9,84,7.74506920311536,0,8,0.737625638391939,2013,185.605051260372
20200322,S92000003,2,13,86,7.93142819198483,2,6,0.553355455254756,1746,161.026437479134
20200322,S92000003,3,14,113,10.3977746921845,0,2,0.184031410481141,1717,157.990965898059
20200322,S92000003,4,16,136,12.4120093491635,1,4,0.365059098504809,1701,155.24138163917
20200322,S92000003,5,19,160,14.722648309978,2,5,0.460082759686812,1783,164.065512104317
20200323,S92000003,1,27,111,10.2345557326882,1,9,0.829828843190932,2136,196.946045450648
20200323,S92000003,2,30,116,10.6982054682586,1,7,0.645581364463881,1875,172.923579767111
20200323,S92000003,3,29,142,13.066230144161,1,3,0.276047115721711,1851,170.321070400296
20200323,S92000003,4,18,154,14.0547752924352,0,4,0.365059098504809,1841,168.018450086838
20200323,S92000003,5,31,191,17.5751614200362,1,6,0.552099311624175,1893,174.187332817427
20200324,S92000003,1,33,144,13.2772614910549,2,11,1.01423525278892,2292,211.329745399291
20200324,S92000003,2,34,150,13.8338863813689,3,10,0.922259092091259,2013,185.650755237971
20200324,S92000003,3,26,168,15.4586384804158,0,3,0.276047115721711,1990,183.111253428735
20200324,S92000003,4,29,183,16.701453756595,1,5,0.456323873131011,1980,180.704253759881
20200324,S92000003,5,41,232,21.3478400494681,1,7,0.644115863561537,2061,189.646113542904
20200325,S92000003,1,43,187,17.2419992974116,1,12,1.10643845758791,2432,224.23819407115
20200325,S92000003,2,31,181,16.6928895668518,1,11,1.01448500130039,2127,196.164508887811
20200325,S92000003,3,34,202,18.5871724585952,4,7,0.644109936683993,2136,196.545546393859
20200325,S92000003,4,36,219,19.9869856431383,1,6,0.547588647757214,2151,196.310530220961
20200325,S92000003,5,36,268,24.6604359192131,3,10,0.920165519373625,2225,204.736828060632
20200326,S92000003,1,50,237,21.8521595373612,1,13,1.1986416623869,2587,238.529690814993
20200326,S92000003,2,42,223,20.5663777536351,4,15,1.38338863813689,2293,211.474009816526
20200326,S92000003,3,34,236,21.7157064367746,1,8,0.736125641924564,2291,210.807980706147
20200326,S92000003,4,46,265,24.1851652759436,3,9,0.821382971635821,2340,213.559572625313
20200326,S92000003,5,45,313,28.8011807563945,2,12,1.10419862324835,2381,219.09141016286
20200327,S92000003,1,59,296,27.2921486205018,2,15,1.38304807198489,2744,253.005593968435
20200327,S92000003,2,51,274,25.2698991233005,5,20,1.84451818418252,2452,226.137929380777
20200327,S92000003,3,43,279,25.6723817621192,2,10,0.920157052405705,2444,224.886383607954
20200327,S92000003,4,53,318,29.0221983311323,1,10,0.912647746262023,2478,226.154111523729
20200327,S92000003,5,67,380,34.9662897361977,1,13,1.19621517518571,2565,236.022455719335
20200328,S92000003,1,42,338,31.1646832220594,10,25,2.30508011997481,2862,263.88557213471603
20200328,S92000003,2,41,315,29.0511614008747,7,27,2.4900995486464,2588,238.680653033218
20200328,S92000003,3,37,316,29.0769628560203,7,17,1.5642669890897,2586,237.952613752115
20200328,S92000003,4,38,356,32.490259766928,2,12,1.09517729551443,2603,237.562208352005
20200328,S92000003,5,45,425,39.1070345733791,3,16,1.4722648309978,2710,249.364855750252
20200329,S92000003,1,47,385,35.4982338476121,6,31,2.85829934876876,2955,272.460470181023
20200329,S92000003,2,46,361,33.2935532244945,3,30,2.76677727627378,2671,246.335403497575
20200329,S92000003,3,40,356,32.7575910656431,3,20,1.84031410481141,2679,246.510074339488
20200329,S92000003,4,26,382,34.8631439072093,2,14,1.27770684476683,2688,245.319714195232
20200329,S92000003,5,33,458,42.143580787312,6,22,2.02436414262197,2793,257.002229561053
20200330,S92000003,1,64,449,41.3992389547476,4,35,3.22711216796473,3120,287.673998972856
